Actual Product Weight,Linear Regression,Decision Tree,Random Forest,SVR,XGBoost,Neural Network
6058,6588.590873,6055,6436.54,21415.96626,6645.6543,7112.849706
17073,16287.58924,16069,16688.2,21813.19386,16901.145,17178.59268
11101,12088.5111,11056,10580.65,21935.82028,11434.089,11201.04057
31095,31363.15746,30086,29198.65,22589.95608,29241.834,30592.4438
17134,20178.82551,19107,17917.99,22108.43287,18621.486,19037.6746
35104,33443.29235,32133,32454.91,22481.96653,32537.893,33362.72476
51126,48641.41604,52102,51769.33,23170.07027,51625.875,50596.85003
43146,44363.87968,44106,44060.08,23048.94126,43743.496,44238.00527
28125,30806.30376,30073,28136.57,22349.55196,28454.848,29287.09626
15148,14969.74028,15098,14990.25,22075.77624,15075.174,14588.7305
3055,1707.536174,5100,6718.234,21366.28497,7767.7534,6067.8545
49123,44442.55678,49098,49907.79,22449.56411,49097.973,48055.83884
3092,938.0502301,2109,3847.735,21257.75164,4147.635,5005.620335
8066,8981.855629,8070,8119.34,21464.13463,8073.3047,8317.900964
32081,32061.16352,33149,32956.76,22398.5887,32383.004,32989.74395
22117,19669.29414,22106,21317.43,22012.19989,20506.988,20078.97958
24069,25344.60571,25084,24251.08,22461.90048,24056.297,24249.00348
16147,16146.97992,16103,16420.94,21761.20915,16452.83,16012.49882
41087,39057.78666,41149,40744.76,22755.95353,41007.883,39398.10704
27069,27358.29482,27056,26589.54,22408.6858,26688.727,26833.82694
17084,19916.79633,18100,18696.63,22039.85236,18645.564,18381.66983
30094,29511.37141,30114,29172.31,22404.70985,30155.387,29615.44112
38075,35789.26769,37144,38616.95,22373.47852,39235.918,38168.07987
41103,37214.15266,41108,39653.23,22740.66929,40226.297,38716.65891
25095,26983.0661,24077,25587.85,22107.86476,25763.4,26172.38126
28072,28353.85879,31111,29919.73,22462.92104,29876.553,29661.65992
32094,33583.18294,31081,30862.21,22423.33436,30865.102,32119.18162
9147,11018.9317,10138,9955.14,21415.37734,9534.423,9100.269302
42097,41629.99126,41134,41088.07,22536.16916,40618.273,41254.835
22087,21443.50269,23111,23325.46,22074.26435,22439.832,21719.49503
16107,18034.96154,17127,16337.04,22004.60442,16692.453,16287.10079
35146,33358.73807,33082,34960.53,22618.97475,33965.67,33200.71289
21079,21793.81334,21108,21423.48,21981.87438,21019.219,20618.11815
27138,28560.46059,26069,26619.21,22246.05519,26583.83,26897.9923
21113,22122.70721,21146,22082.9,22030.78771,22076.846,21677.32551
